Star,Note,ra,dec,ra2,dec2,UVW2,UVW2_err,UVM2,UVM2_err,UVW1,UVW1_err,
lmc-obs45510-156,"""(same as lmc-obs45509-850 (lmc-m01))""",86.86671,-69.1021,05 47 28.01,-69 06 07.6,14.742622,0.044313,14.860929,0.046915,15.154777,0.046127,
lmc-obs45461-2273,"""(lmc-m04)""",77.205735,-69.0916,05 08 49.38,-69 05 29.8,15.962009,0.054246,16.08235,0.062933,16.389517,0.063765,
lmc-obs45578-835 ,"""(lmc164-97, blue star)""",86.73666,-70.09345,05 46 56.80,-70 05 36.4,15.693889,0.06577,15.951822,0.083973,16.235184,0.090027,
lmc-obs45536-335 ,(lmc-m02),82.004805,-69.99687,05 28 01.15,-69 59 48.7,16.645891,0.098407,16.600111,0.117549,17.086422,0.195188,
lmc-obs45516-4349,-,83.116425,-70.30682,05 32 27.94,-70 18 24.6,16.181597,0.078967,16.310175,0.099383,16.49437,0.09615,
lmc-obs45446-206,-,76.194645,-69.04014,05 04 46.71,-69 02 24.5,16.429209,0.058615,16.547186,0.07001,16.849342,0.065657,
smc-obs40427-981 ,(a18),14.25651,-72.60092,00 57 01.56,-72 36 03.3,14.435504,0.049362,14.545821,0.054246,14.875364,0.053459,
smc-obs40416-6198 ,(smc-m2),15.24876,-72.62048,01 00 59.70,-72 37 13.7,16.150782,0.064879,16.300615,0.081433,16.755665,0.088197,
smc-obs40434-2857 ,"""(large RV!!!)""",14.41704,-71.98791,00 57 40.09,-71 59 16.5,16.096189,0.061978,16.251154,0.075933,16.762348,0.082033,
smc-obs40454-4332 ,(smc-m1),16.001985,-72.27852,01 04 00.48,-72 16 42.7,16.205496,0.059172,16.248037,0.068912,16.33028,0.122479,
smc-obs40454-6519,-,16.26066,-72.04239,01 05 02.56,-72 02 32.6,16.349337,0.068558,16.484943,0.084512,17.059647,0.227618,
